
ASDJKLJ
DALKDSJ


CUIDADORES BIEN
11	6 --
10	6 --
12	6 --
13	6 --
14	6 --
15	6
15	4
16	6 --
17	2 --
18	4 --
21	5 --
22	5 --
23	5 --
24	5 --
25	6 
25	1
25	7
25	6
25	3
25	5
26	3
26	5
27	5 --
28	5 --
29	5
30	1
30	6
30	3
30	5
31	5
32	5
33	5
34	5
35	4
35	5
35	4
35	1
35	6
36	2
36	5
37	5
38	5 --
39	5 --
40	6 
40	4 
40	5
40	6
40	6
40	3
41	2 --
42	1 --
43	6 -- 
45	1
45	6
45	4
48	3 --
50	7
50	6
52	4 --
54	1  --
55	4
55	3
55	2
58	3
58	3
60	6
60	1
62	7 --
63	4
63	4
65	3
65	4
68	2 --
69	2 --
70	4
70	6
70	1
72	1
72	3
73	6 --
75	2
75	3
80	1 --
86	4 --
90	7 --
95	4 --
96	2 --
99	2 --
